sig_id	pert_id	pert_mfc_id	cmap_name	pert_type	cell_iname	pert_idose	pert_itime	is_hiq	cc_q75
ASG003_A549_24H:F10	BRD-K93918653	BRD-K93918653	quizartinib	trt_cp	A549	10 uM	24 h	1	0.5592
ASG003_A549_24H:K04	BRD-K92723993	BRD-K92723993	imatinib	trt_cp	A549	10 uM	24 h	1	0.3258
ASG003_A549_24H:K07	BRD-K88510285	BRD-K88510285	bortezomib	trt_cp	A549	10 uM	24 h	1	0.8913
ASG003_A549_24H:K08	BRD-K88510285	BRD-K88510285	bortezomib	trt_cp	A549	10 uM	24 h	1	0.8918
ASG003_A549_24H:K09	BRD-K88510285	BRD-K88510285	bortezomib	trt_cp	A549	10 uM	24 h	1	0.8993
ASG003_A549_24H:K10	BRD-K88510285	BRD-K88510285	bortezomib	trt_cp	A549	10 uM	24 h	1	0.8955
ASG003_A549_24H:K16	BRD-K51313569	BRD-K51313569	palbociclib	trt_cp	A549	10 uM	24 h	1	0.7546
ASG003_A549_24H:L04	BRD-K77908580	BRD-K77908580	entinostat	trt_cp	A549	10 uM	24 h	1	0.8957
ASG003_A549_24H:N01	BRD-K49328571	BRD-K49328571	dasatinib	trt_cp	A549	10 uM	24 h	1	0.6515
ASG003_A549_24H:P01	BRD-K02130563	BRD-K02130563	panobinostat	trt_cp	A549	10 uM	24 h	1	0.8614
ASG003_A549_24H:P14	BRD-K44227013	BRD-K44227013	ponatinib	trt_cp	A549	1.11 uM	24 h	1	0.6249
ASG003_A549_24H:P15	BRD-K44227013	BRD-K44227013	ponatinib	trt_cp	A549	0.12 uM	24 h	1	0.3181
ASG003_A549_6H:P14	BRD-K44227013	BRD-K44227013	ponatinib	trt_cp	A549	1.11 uM	6 h	1	0.4323
BRAF001_A375_24H:BRD-K81418486-001-15-2:10	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	A375	10 uM	24 h	1	0.85
CPC001_PC3_24H:B04	BRD-K81418486	BRD-K81418486	vorinostat	trt_cp	PC3	10 uM	24 h	1	0.8326
CPC002_PC3_24H:BRD-A76528577-065-01-2:10	BRD-A76528577	BRD-A76528577	vincristine	trt_cp	PC3	10 uM	24 h	1	0.44
CPC002_PC3_24H:BRD-K13646352-001-01-2:10	BRD-K13646352	BRD-K13646352	midostaurin	trt_cp	PC3	10 uM	24 h	1	0.52
CPC002_PC3_6H:BRD-K13646352-001-01-2:10	BRD-K13646352	BRD-K13646352	midostaurin	trt_cp	PC3	10 uM	6 h	1	0.27
